Solution,MaxSum,MaxMin,Cost,Capacity
2 - 4 - 9 - 11 - 15 - 16 - 21 - 22 - 30 - 37 - 42 - 44 - 45 - 48 - 49 - 50,14974.7,87.4,8178.0,6025.0
2 - 3 - 4 - 5 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 21 - 22 - 29 - 30 - 34 - 35 - 39 - 40 - 42 - 43 - 44 - 45 - 47 - 48 - 49 - 50 - 51,43513.5,56.2,8451.0,7816.0
2 - 3 - 4 - 9 - 11 - 15 - 16 - 22 - 30 - 36 - 37 - 45 - 49,10197.8,92.8,8342.0,5642.0
2 - 3 - 4 - 9 - 15 - 16 - 17 - 22 - 30 - 36 - 37 - 45 - 49,10130.0,95.0,8373.0,5730.0
2 - 4 - 9 - 15 - 16 - 22 - 30 - 36 - 37 - 45 - 48 - 49 - 50,10130.9,93.2,7869.0,5406.0
2 - 11 - 15 - 16 - 30 - 36 - 37 - 49 - 50,4963.8,104.4,7526.0,4780.0
2 - 3 - 4 - 9 - 11 - 15 - 16 - 21 - 22 - 30 - 35 - 42 - 44 - 45 - 48 - 49 - 50,16904.3,84.7,6819.0,5489.0
2 - 3 - 4 - 5 - 9 - 10 - 11 - 14 - 15 - 18 - 21 - 22 - 29 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 46 - 48 - 49 - 50 - 51,38375.4,66.8,8442.0,7864.0
2 - 4 - 9 - 16 - 17 - 22 - 30 - 36 - 37 - 45 - 49 - 50,8594.7,100.8,7868.0,5433.0
2 - 3 - 4 - 7 - 8 - 9 - 10 - 11 - 14 - 15 - 16 - 22 - 30 - 34 - 35 - 39 - 43 - 44 - 45 - 48 - 49 - 50 - 51,30164.8,76.5,8333.0,6654.0
6 - 11 - 16 - 30 - 36 - 37 - 50,2827.8,113.4,7396.0,4700.0
2 - 3 - 4 - 5 - 7 - 9 - 10 - 11 - 14 - 15 - 20 - 22 - 30 - 34 - 35 - 39 - 40 - 43 - 44 - 45 - 46 - 48 - 49 - 50,33158.9,71.9,8385.0,7209.0
2 - 11 - 15 - 16 - 30 - 36 - 37 - 50,3896.0,109.4,7429.0,4718.0
2 - 11 - 12 - 15 - 16 - 30 - 36 - 37 - 50,4886.4,105.4,8286.0,5173.0
